,Z_Rejon,POI,Czas_PrT,Czas_PuT
1,1.0,1.0,191.73977750159483,435.72763104991753
2,1.0,2.0,71.17655844839771,429.1638284493107
3,1.0,3.0,243.15716870593732,446.70395598238144
4,1.0,4.0,165.96210172992465,526.1186454821488
5,1.0,5.0,126.91054607568822,403.67550791016737
6,1.0,6.0,388.7992844290466,978.5317334029769
7,1.0,7.0,412.6810647582402,999999.0
8,1.0,8.0,126.01403440962295,451.5701076312614
9,1.0,9.0,62.74102057203459,264.7707984297124
10,1.0,10.0,63.856723748227495,444.8863099754466
11,1.0,11.0,91.77698507154443,274.7017585098357
12,1.0,12.0,78.5058890575135,246.72457304798886
13,1.0,13.0,80.54832700972543,89.13511258384771
14,1.0,14.0,131.16342496861336,298.037224668189
15,1.0,15.0,83.03147112257574,274.7223407448831
16,1.0,16.0,224.80708232729992,285.31128266562655
17,1.0,17.0,59.046109098437675,195.88310473411602
18,1.0,18.0,71.34530801022198,320.31519379748147
19,1.0,19.0,66.8188205400297,171.24265641854194
20,1.0,20.0,85.96533447167108,600.3785091460998
21,1.0,21.0,111.33043424125323,333.16998662486407
22,1.0,22.0,91.4630759827524,295.6553323281669
23,1.0,23.0,116.64402423630416,525.0061265868009
24,1.0,24.0,176.09129785919458,602.9443330659227
25,1.0,25.0,104.49098188545706,728.6410912933998
26,1.0,26.0,88.62261147893085,487.08994488141377
27,1.0,27.0,53.22307345786633,352.2587138380662
28,1.0,28.0,124.22613328669999,204.59905790046864
29,1.0,29.0,78.58948814250174,999999.0
30,1.0,30.0,108.09109699892315,286.5901388975788
31,1.0,31.0,79.39203640587306,414.84376529054396
32,1.0,32.0,159.667230502053,271.45823092323593
33,2.0,1.0,193.61100333109525,438.95763104991755
34,2.0,2.0,69.42334471503057,425.5288284493107
35,2.0,3.0,241.6729487483044,446.84495598238146
36,2.0,4.0,168.5034273718441,530.3296454821487
37,2.0,5.0,124.49869435846624,399.27450791016736
38,2.0,6.0,390.67051025854704,981.5217334029769
39,2.0,7.0,414.9478635931353,999999.0
40,2.0,8.0,125.69300191108994,452.61210763126144
41,2.0,9.0,62.97179887970673,264.45079842971234
42,2.0,10.0,64.56048553367845,444.56630997544653
43,2.0,11.0,92.49216771208731,277.7177585098357
44,2.0,12.0,79.22107169805638,249.74057304798885
45,2.0,13.0,80.05546140426013,88.31611258384771
46,2.0,14.0,130.9192164057307,296.989224668189
47,2.0,15.0,85.27193766698595,277.7383407448831
48,2.0,16.0,227.6402865856886,289.52128266562653
49,2.0,17.0,58.453265188082504,195.064104734116
50,2.0,18.0,69.24524223799472,316.6801937974815
51,2.0,19.0,64.75711002601511,167.60765641854192
52,2.0,20.0,83.90362395765649,596.7415091460997
53,2.0,21.0,114.08495518146651,337.37698662486406
54,2.0,22.0,94.50207750454166,299.8663323281669
55,2.0,23.0,114.78555518672307,522.6071265868009
56,2.0,24.0,173.98749633831147,598.5433330659226
57,2.0,25.0,102.38718036457395,723.0600912933998
58,2.0,26.0,86.00701717101038,481.50894488141375
59,2.0,27.0,50.60747914994586,346.6777138380662
60,2.0,28.0,121.61053897877952,199.01805790046865
61,2.0,29.0,76.6930872933284,999999.0
62,2.0,30.0,107.72803402286941,286.73113889757883
63,2.0,31.0,79.02897342981933,414.027765290544
64,2.0,32.0,159.30416752599928,270.64223092323596
65,3.0,1.0,193.38261283721735,438.70963104991756
66,3.0,2.0,70.11999209974523,426.2968284493107
67,3.0,3.0,241.04495261539526,445.8709559823815
68,3.0,4.0,168.660467183277,530.0816454821488
69,3.0,5.0,124.71691502517945,399.3145079101673
70,3.0,6.0,390.44211976466914,981.273733402977
71,3.0,7.0,415.1049034045682,999999.0
72,3.0,8.0,126.38964929580459,452.36410763126145
73,3.0,9.0,62.74340838582885,264.20279842971235
74,3.0,10.0,64.33209503980056,444.31830997544654
75,3.0,11.0,92.3322633413836,277.4697585098357
76,3.0,12.0,79.02836076279121,249.49257304798886
77,3.0,13.0,79.63230520365514,87.34211258384772
78,3.0,14.0,130.759312035027,296.74122466818903
79,3.0,15.0,85.2280181804405,277.4903407448831
80,3.0,16.0,227.242985525063,289.27328266562654
81,3.0,17.0,57.83959858304715,194.090104734116
82,3.0,18.0,69.79373555710005,317.44819379748145
83,3.0,19.0,65.52642490047475,168.37565641854192
84,3.0,20.0,84.67293883211615,597.5115091460997
85,3.0,21.0,113.68765412084092,337.12898662486407
86,3.0,22.0,94.10477644391607,299.6183323281669
87,3.0,23.0,114.48821875073764,521.6331265868008
88,3.0,24.0,173.69891807345985,598.5833330659227
89,3.0,25.0,102.2973508349483,724.2800912933998
90,3.0,26.0,86.77267372986138,482.7289448814138
91,3.0,27.0,51.373135708796866,347.89771383806624
92,3.0,28.0,122.37619553763052,200.23805790046865
93,3.0,29.0,76.39575085734296,999999.0
94,3.0,30.0,107.26847312709774,285.75713889757884
95,3.0,31.0,78.56941253404766,413.05276529054396
96,3.0,32.0,158.8446066302276,269.66723092323593
97,4.0,1.0,193.54747921251547,439.32363104991754
